Run 1.3T,/////////////,Polar L,/////////////,Polar R,/////////////
545.914,0.41234,545.914,0.40439,545.914,0.406
545.9142,0.41306,545.9142,0.40432,545.9142,0.40618
545.9144,0.41286,545.9144,0.40417,545.9144,0.40608
545.9146,0.41316,545.9146,0.40436,545.9146,0.40587
545.9148,0.41321,545.9148,0.40429,545.9148,0.40615
545.915,0.41387,545.915,0.40448,545.915,0.40591
545.9152,0.4136,545.9152,0.40432,545.9152,0.4061
545.9154,0.41372,545.9154,0.40442,545.9154,0.40612
545.9156,0.41393,545.9156,0.4044,545.9156,0.406
545.9158,0.41418,545.9158,0.40454,545.9158,0.40606
545.916,0.41373,545.916,0.40462,545.916,0.40624
545.9162,0.41404,545.9162,0.4045,545.9162,0.40641
545.9164,0.4145,545.9164,0.40463,545.9164,0.40634
545.9166,0.41395,545.9166,0.4047,545.9166,0.40638
545.9168,0.41435,545.9168,0.40472,545.9168,0.4065
545.917,0.41392,545.917,0.40465,545.917,0.40672
545.9172,0.41366,545.9172,0.40488,545.9172,0.40657
545.9174,0.41374,545.9174,0.40492,545.9174,0.40694
545.9176,0.41349,545.9176,0.40529,545.9176,0.40714
545.9178,0.41372,545.9178,0.40492,545.9178,0.40694
545.918,0.41358,545.918,0.40521,545.918,0.407
545.9182,0.41377,545.9182,0.40518,545.9182,0.407
545.9184,0.41336,545.9184,0.4051,545.9184,0.40738
545.9186,0.41338,545.9186,0.40511,545.9186,0.40735
545.9188,0.41306,545.9188,0.40559,545.9188,0.40757
545.919,0.41352,545.919,0.40542,545.919,0.40738
545.9192,0.41362,545.9192,0.40526,545.9192,0.40784
545.9194,0.41296,545.9194,0.40543,545.9194,0.40778
545.9196,0.41292,545.9196,0.40561,545.9196,0.40764
545.9198,0.41282,545.9198,0.40575,545.9198,0.40772
545.92,0.4131,545.92,0.40587,545.92,0.40791
545.9202,0.41273,545.9202,0.40579,545.9202,0.40776
545.9204,0.41303,545.9204,0.40571,545.9204,0.40749
545.9206,0.41291,545.9206,0.40578,545.9206,0.40784
545.9208,0.41269,545.9208,0.40576,545.9208,0.40746
545.921,0.41342,545.921,0.40599,545.921,0.40764
545.9212,0.41343,545.9212,0.40598,545.9212,0.40797
545.9214,0.41314,545.9214,0.40581,545.9214,0.40761
545.9216,0.41446,545.9216,0.40615,545.9216,0.40745
545.9218,0.41355,545.9218,0.40605,545.9218,0.4073
545.922,0.41432,545.922,0.40601,545.922,0.4075
545.9222,0.41403,545.9222,0.40618,545.9222,0.40774
545.9224,0.4145,545.9224,0.40623,545.9224,0.40737
545.9226,0.41419,545.9226,0.40631,545.9226,0.40757
545.9228,0.41458,545.9228,0.40604,545.9228,0.40717
545.923,0.41451,545.923,0.4059,545.923,0.4071
545.9232,0.4151,545.9232,0.4065,545.9232,0.40724
545.9234,0.41477,545.9234,0.40617,545.9234,0.4071
545.9236,0.41526,545.9236,0.40621,545.9236,0.40665
545.9238,0.41558,545.9238,0.40653,545.9238,0.40702
545.924,0.41603,545.924,0.40626,545.924,0.40674
545.9242,0.41604,545.9242,0.40633,545.9242,0.40676
545.9244,0.41608,545.9244,0.40669,545.9244,0.40644
545.9246,0.41614,545.9246,0.40649,545.9246,0.40647
545.9248,0.41632,545.9248,0.40637,545.9248,0.40649
545.925,0.41607,545.925,0.40654,545.925,0.40666
545.9252,0.41647,545.9252,0.40665,545.9252,0.40619
545.9254,0.41685,545.9254,0.40715,545.9254,0.40591
545.9256,0.41659,545.9256,0.40705,545.9256,0.40578
545.9258,0.41653,545.9258,0.40726,545.9258,0.40604
545.926,0.41705,545.926,0.40722,545.926,0.40583
545.9262,0.41712,545.9262,0.40707,545.9262,0.40591
545.9264,0.41621,545.9264,0.40739,545.9264,0.40578
545.9266,0.4165,545.9266,0.40763,545.9266,0.40545
545.9268,0.41591,545.9268,0.40797,545.9268,0.40515
545.927,0.41598,545.927,0.40794,545.927,0.40532
545.9272,0.41556,545.9272,0.40816,545.9272,0.40539
545.9274,0.4155,545.9274,0.40842,545.9274,0.40523
545.9276,0.41561,545.9276,0.40831,545.9276,0.40538
545.9278,0.41507,545.9278,0.40881,545.9278,0.40523
545.928,0.41465,545.928,0.40891,545.928,0.40491
545.9282,0.41471,545.9282,0.40935,545.9282,0.4048
545.9284,0.41509,545.9284,0.40946,545.9284,0.40495
545.9286,0.41474,545.9286,0.40974,545.9286,0.40476
545.9288,0.41399,545.9288,0.40977,545.9288,0.4047
545.929,0.4143,545.929,0.40974,545.929,0.40476
545.9292,0.41442,545.9292,0.41017,545.9292,0.40453
545.9294,0.41512,545.9294,0.41059,545.9294,0.40428
545.9296,0.41501,545.9296,0.41035,545.9296,0.40456
545.9298,0.415,545.9298,0.4106,545.9298,0.40463
545.93,0.41545,545.93,0.4106,545.93,0.40459
545.9302,0.41488,545.9302,0.41043,545.9302,0.40423
